STATION,X,Y,time,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_Total
XN002YN002,-0.1999999999999993,-0.1999999999999993,0.0,-0.2456067147121312,-0.3212013951631302,-0.2496003198294016,-0.1006242932347928,-0.0474371409508929,-0.9644698638903486
XN002YN002,-0.1999999999999993,-0.1999999999999993,0.1666666666666666,0.1176826843059454,0.1539039452969192,0.1195962238881559,0.0482142230848142,0.0227295499206676,0.4621266264965025
XN002YN002,-0.1999999999999993,-0.1999999999999993,0.3333333333333333,0.0850528687353276,0.1112310798686175,0.0864358422106988,0.034845890977024,0.0164273396482846,0.3339930214399527
XN002YN002,-0.1999999999999993,-0.1999999999999993,0.5,0.0285363703254156,0.0373195088422495,0.029000376346967,0.011691260553877,0.0055115912565347,0.112059107325044
XN002YN002,-0.1999999999999993,-0.1999999999999993,0.6666666666666666,-0.0367232608158199,-0.0480262220143538,-0.0373203870079471,-0.0150454036617034,-0.0070928292882312,-0.1442081027880555
XN002YN002,-0.1999999999999993,-0.1999999999999993,0.8333333333333333,-0.0932397592257319,-0.1219377930407217,-0.0947558528716788,-0.0382000340848503,-0.018008577679981,-0.366142016902964
XN002YN002,-0.1999999999999993,-0.1999999999999993,1.0,-0.1258695747963499,-0.1646106584690237,-0.1279162345491361,-0.0515683661926407,-0.0243107879523641,-0.4942756219595144
XN002YN002,-0.1999999999999993,-0.1999999999999993,1.1666666666666663,-0.1258695747963497,-0.1646106584690234,-0.1279162345491359,-0.0515683661926406,-0.024310787952364,-0.4942756219595141
XN002YN002,-0.1999999999999993,-0.1999999999999993,1.3333333333333333,-0.0932397592257321,-0.121937793040722,-0.094755852871679,-0.0382000340848504,-0.0180085776799811,-0.3661420169029645
XN002YN002,-0.1999999999999993,-0.1999999999999993,1.5,-0.03672326081582,-0.0480262220143539,-0.0373203870079472,-0.0150454036617034,-0.0070928292882312,-0.1442081027880561
XN002YN002,-0.1999999999999993,-0.1999999999999993,1.6666666666666663,0.0285363703254155,0.0373195088422494,0.029000376346967,0.011691260553877,0.0055115912565347,0.1120591073250438
XN002YN002,-0.1999999999999993,-0.1999999999999993,1.8333333333333333,0.0850528687353275,0.1112310798686174,0.0864358422106987,0.0348458909770239,0.0164273396482846,0.3339930214399524
XN002YN002,-0.1999999999999993,-0.1999999999999993,2.0,0.1176826843059456,0.1539039452969194,0.1195962238881561,0.0482142230848142,0.0227295499206676,0.4621266264965031
XN002YN002,-0.1999999999999993,-0.1999999999999993,2.1666666666666665,0.1176826843059453,0.1539039452969191,0.1195962238881558,0.0482142230848141,0.0227295499206676,0.462126626496502
XN002YN002,-0.1999999999999993,-0.1999999999999993,2.333333333333333,0.0850528687353276,0.1112310798686175,0.0864358422106988,0.034845890977024,0.0164273396482846,0.3339930214399528
XN002YN002,-0.1999999999999993,-0.1999999999999993,2.5,0.0285363703254158,0.0373195088422498,0.0290003763469673,0.011691260553877,0.0055115912565348,0.1120591073250449
XN002YN002,-0.1999999999999993,-0.1999999999999993,2.6666666666666665,-0.0367232608158198,-0.0480262220143537,-0.037320387007947,-0.0150454036617033,-0.0070928292882312,-0.1442081027880553
XN002YN002,-0.1999999999999993,-0.1999999999999993,2.833333333333333,-0.0932397592257318,-0.1219377930407215,-0.0947558528716786,-0.0382000340848503,-0.018008577679981,-0.3661420169029633
XN002YN002,-0.1999999999999993,-0.1999999999999993,3.0,-0.1258695747963501,-0.1646106584690239,-0.1279162345491362,-0.0515683661926407,-0.0243107879523641,-0.4942756219595153
XN002YN002,-0.1999999999999993,-0.1999999999999993,3.1666666666666665,-0.1258695747963498,-0.1646106584690235,-0.1279162345491359,-0.0515683661926406,-0.024310787952364,-0.4942756219595141
XN002YN002,-0.1999999999999993,-0.1999999999999993,3.333333333333333,-0.0932397592257319,-0.1219377930407217,-0.0947558528716788,-0.0382000340848504,-0.018008577679981,-0.3661420169029639
XN002YN002,-0.1999999999999993,-0.1999999999999993,3.5,-0.0367232608158203,-0.0480262220143543,-0.0373203870079474,-0.0150454036617035,-0.0070928292882312,-0.144208102788057
XN002YN002,-0.1999999999999993,-0.1999999999999993,3.6666666666666665,0.0285363703254155,0.0373195088422495,0.029000376346967,0.0116912605538769,0.0055115912565347,0.1120591073250438
XN002YN002,-0.1999999999999993,-0.1999999999999993,3.833333333333333,0.0850528687353274,0.1112310798686171,0.0864358422106986,0.0348458909770239,0.0164273396482846,0.3339930214399516
XN002YN002,-0.1999999999999993,-0.1999999999999993,4.0,0.1176826843059457,0.1539039452969196,0.1195962238881562,0.0482142230848143,0.0227295499206677,0.462126626496504
XN002YN002,-0.1999999999999993,-0.1999999999999993,4.166666666666666,0.117682684305945,0.1539039452969186,0.1195962238881555,0.048214223084814,0.0227295499206675,0.4621266264965007
XN002YN002,-0.1999999999999993,-0.1999999999999993,4.333333333333333,0.0850528687353281,0.1112310798686181,0.0864358422106992,0.0348458909770241,0.0164273396482847,0.3339930214399542
XN002YN002,-0.1999999999999993,-0.1999999999999993,4.5,0.0285363703254157,0.0373195088422498,0.0290003763469672,0.011691260553877,0.0055115912565348,0.1120591073250448
XN002YN002,-0.1999999999999993,-0.1999999999999993,4.666666666666666,-0.0367232608158196,-0.0480262220143533,-0.0373203870079467,-0.0150454036617032,-0.0070928292882311,-0.1442081027880541
